title,abstract,publication_date,url
Housing Narratives for Post-Carbon Inclusive Societies,"The climate emergency and COVID-19 have brought fresh urgency to both housing financialization and home as building blocks of societies. In westernized homeowner dominated societies, a seemingly eternal housing affordability crisis and gentrification are perennial features of policy agendas. In this context, prospects are assessed for the proliferation of inclusive housing in the post-carbon era, confronting the idea that homeownership is the only or best option, and that a growth model of economic development is the route to achieving this. The chapter forms a bridge between contemporary mainstream narratives of affordable housing and radical degrowth analyses of a prefigurative nature. Housing studies is reflected on as a diverse field, connecting normative ideas of housing as a three-part social construct – a commodity-cum-asset (homeownership, housing markets, investments and capital accumulation); housing with use values offering spaces (shelter) and services and comforts (such as climate control and locational convenience); and housing as ‘home’ where affective dimensions of dwellings connect to subjective meanings, emotions, memory and ontological security.",2024-05-30,
Jumping up the sanitation ladder in rural Cambodia: The role of remittances and peer-to-peer pressure in adopting high-quality latrines,"Over the last 50 years, a combination of factors has driven sanitation improvements in rural areas of low-income and emerging economies in Asia. While open defecation remains an important challenge in many countries, Cambodia has rapidly increased rural sanitation coverage in the last 20 years. Using data collected via 92 interviews and seven focus group discussions, this qualitative study analysed the macro-level, community, and individual factors that motivated rural households to invest in high-quality latrines in seven villages in Cambodia that achieved and sustained open defecation free status with at least 85% latrine coverage. Local demand for adoption of high quality latrine was stimulated by a number of factors which include: a) NGO-led interventions that included behaviour change communication, sanitation marketing, and community-led total sanitation, all magnified by the strong support of local leaders at the village and commune levels; b) an increased proportion of rural households engaging in factory work, with access to raising wages, higher disposable incomes, and remittances; and c) subsidies and microcredit. Furthermore, migrants not only transferred financial resources to their home villages, but also transferred a set of ideas, norms, expectations, information, and behaviors back to their communities that reflect the migrants’ new ways of life, and economic possibilities. We provide evidence that new habits among factory workers, and ownership and display of new technologies and consumer commodities as symbols of modern success and social status facilitated high-quality latrine adoption. Peer-to-peer pressure at the village level, and among adult children commuting to factories or visiting their rural hometown ensured widespread adoption.",2024-05-29,
Modeling and analysis of risk factors affecting operation of photovoltaic power plants,"The operation stage in photovoltaic (PV) power plants is considered one of the most imperative stages to achieve the sustainability of these projects. There are many risk factors that affect the PV operating goals, such as energy output, cost, and lifespan. The aim of this study is to identify the main risk groups and risk factors associated with operating the solar PV power plants, as well as to assess and analyze the effects of these risk factors on the operation process. Sixty-two risk factors are grouped into nine different risk categories associated with international regulation, technology, financial and economic, supply chain, environmental, climate change, market, organizational, and safety. To overcome the problem of conjoining multi characteristics for any risk factor, a model for qualitative risk analysis using fuzzy logic features is developed. Through three new indices, the model adds a suitable factor analysis that links several effects on PV operating goals in order to figure out how important each risk factor is. Results show that the most significant risk factors that pose high threats to the operation of the solar PVs include ""Grid Stability"" for energy output, ""Commodity Price"" for cost, and ""Maintenance Challenges"" for life span, while ""Energy Storage"" is observed to be the most frequent in these projects. For the results of the group analysis, the Technology Risk group is evaluated as the most important risk group that affects the operation of the solar PV power plant. There is a high association between cost and lifespan, whereas most influencing risk factors affect both energy output and lifespan.",2024-05-28,
"Deciphering volatility spillovers amidst crises: analyzing the interplay among commodities, equities and socially responsible investments during the COVID-19 shock and financial turbulence","Purpose This study aims to elucidate the volatility spillovers among commodities, equities and socially responsible investments, underpinning their dynamic correlations during the economic instability wrought by the COVID-19 pandemic and associated financial crises. Design/methodology/approach This research quantitatively analyzes volatility transmission across various financial assets from January 2005 to October 2020 by employing the Diebold and Yilmaz (2012) spillover index. The methodology incorporates a temporal examination to capture the evolution of volatility dependencies pre and post the emergence of COVID-19. Findings The findings indicate substantial volatility spillovers among the assets in question, aligning with the current financialisation of commodity markets and a rise in financial market integration. These spillovers also show variation over time. Notably, the interconnectedness among the assets intensifies during periods of stress. For instance, the total spillover index significantly surpassed 80% toward the end of January 2020, following the onset of the COVID-19 crisis. Furthermore, the results imply that financial markets appear to be segmented. Practical implications The findings afford investors a more comprehensive insight into both the character and scale of the interdependencies across a broad array of financial markets. Indeed, grasping the extent to which financial markets are segmented or integrated during times of stress and stability is crucial for investors. Such understanding is key to more accurately evaluating risks, diversifying investment portfolios and devising more efficient hedging strategies. Originality/value This study contributes to financial literature by offering a comprehensive investigation into the spillover effects across a diverse set of asset classes during an unprecedented global health crisis, filling a gap in existing research on market behavior against the backdrop of a pandemic-induced financial crisis.",2024-05-28,
Index,"Adaptation, 9-10 continuous monitoring and adaptation, 10 Aggregate wages, 45 Aggregated average notional amount (AANA), 124-125 Aggregation criteria, 153 Alternative theories of customer prepayments, 173-174 Anti-money laundering (AML), 7 Archegos Capital Management, 91, 123, 126, 134 collapse triggered by margin calls, 128 incentives for market manipulations, 127-128 insufficient initial margin, 132-134 large total return swap exposures, 126-127 liquidation of hedge positions, 129-132 Archegos transactions, CCR RWA for, 140-141 Artificial intelligence (AI), 4, 95 in banking processes, 4 Assessment process, 112 Asset yields, 43 Asset-liability committees (ALCOs), 11, 13, 15, 160, 188 Asset-Liability Management (ALM), 6, 65, 147, 157, 181 banks benefit in terms of, 67-68 discipline, 13-18 forecasts, 152 management information, 153 Association of Chartered Certified Accountants, The (ACCA), 28-29 Australian Prudential Regulation Authority (APRA), 101 Automation in banking processes, harnessing, 4 Average life (AL), 185 Average mortgage rates, 172 Climate change, 51, 65-66 Climate financing, 60 Climate justice, 51 Climate risk, 56-57, 65-66 Climate risk stress test (2022), 103 Climate-related financial risks, 95, 97, 104 data limitations, 103-104 emphasis on financial risks, 101 long-term horizon, 101-103 risk coverage, 101 scenario analyses and stress testing, 103 selective list of climate-related publications, 98-100 Climate-related risks, 101 Climate-risk governance, 70 Closeout, 132 Cloud computing in banking, 4-5 Collateralisation, 124-125 Commodity markets, 134-135 Communication, bank strategy and, 80-81 Communities, 53 Competitive advantage, 42 Competitive pressures, 10 Competitive priorities for resilient banks, 12 back to basics, 13-18 risk culture, 18-21 Complacency, 53-54 Complex liability chains, 136-137 Concentration risk, 85 Conduct risk, 84 Confidence, 15 Consumer Protection Act, 87 Conversion factor, 197 Converted forward price, 198 Core, 190 balances, 190-191 Corrective action, 83 Cost of capital, 27-28 Cost of Equity (COE), 35 Counterparty credit risk (CCR), 123-124, 126",2024-05-28,
Asymmetric connectedness and investment strategies between commodities and Islamic banks: Evidence from gulf cooperative council (GCC) markets,"The study uses the data of thirteen Islamic Banks (IB) in the GCC region and sixteen commodities that include soft agriculture, energy, industry, and precious metal commodities. Murabaha transactions makes up most of the revenues of the Islamic banks, whereas commodities set up the biggest portion of the assets among Murabaha transactions, therefore commodities and IB revenues are expected to comove. Interestingly, empirical findings suggest that most of the Islamic banks and commodities are not significantly affected by the shocks from other markets. We further observe that negative shocks have a higher impact on market connectedness among used assets compared to the positive returns and find a significant role of risk variables in explaining the magnitude of spillover between used assets. We perform robustness of our results in sub-samples periods during Shale Oil Revolution, Global Financial Crisis, and the COVID-19. Additionally, the multivariate portfolio analysis shows some risk reduction properties of the majority of the used assets. The performance evaluation measures demonstrate that weights selected based on dynamic connectedness network presents diversification opportunities. These findings help investors and portfolio managers to remain alert to the movements of the risk factors and calibrate there hedging and portfolio management strategies by taking long and short positions as incorporation of Islamic banks and commodities in the GCC region in a portfolio could yield risk reduction benefits and profitability.",2024-05-27,
Does Financial Derivative Hedging Reduce Firms’ Financial Constraints?,"This study examines the relationship between the firms’ derivative risk management and its financial constraints. Firms face a wedge between their internal and external financing for their investments. I test whether this wedge reduces firms’ financial constraints when they hedge using interest rate, foreign currency, and commodity derivatives. Using an event study and a difference-in-differences framework around implementing Financial Accounting Standard (FAS) 123R, this study shows a strong causal relationship between derivative hedging and financial constraints. I find that net debt increases for the derivative hedging firms, on the other hand, cash holdings and net equity issuance decreases. When managers of non-financial corporations believe that their firm will face a liquidity shortage, they save more cash out of cash flow as a precautionary measure. Both cash flow-cash sensitivity and investment-cash flow sensitivity decrease. The analysis also shows that both the loan spread and the probability of covenant violation decrease after firms start derivative hedging. The main implication of the analysis is that risk management influences the asymmetric information between lenders and borrowers: the increase in risk management, the less the asymmetry.",2024-05-27,
Neural Network for Financial Forecasting,"Neural networks are broadly identified for his or her ability to correctly seize complicated, non-linear patterns in financial facts, making them powerful in predicting financial trends.This examine investigates how special neural community structures like Multilayer Perceptron (MLP), Recurrent Neural Networks (RNN), long brief-time period memory (LSTM) networks, and Convolutional Neural Networks (CNN) can be used to forecast monetary indicators.Mlps are quite effective at predicting inventory prices, satisfactory-tuning portfolios, and coping with dangers due to their simplicity and flexibility.Rnns are created to recognize sequential records and seize essential time-based connections vital for studying economic time collection, despite the fact that they face difficulties because of the problem of disappearing gradients.Lstms cope with this trouble through incorporating gating mechanisms, permitting them to as it should be constitute long-time period connections in endeavors which includes predicting volatility and algorithmic buying and selling.Cnns, often applied in photo processing, were adjusted for monetary facts a good way to hit upon spatial and temporal patterns, improving marketplace trend analysis and reputation of buying and selling alerts.The evaluation of these neural network models is based on metrics like mean Absolute mistakes (MAE), mean Squared mistakes (MSE), Root suggest Squared blunders (RMSE), and imply Absolute percent blunders (MAPE).This text showcases how neural networks are used almost in financial prediction by using inspecting instances like predicting inventory expenses, forex fees, forecasting commodity charges, and modeling volatility.The consequences emphasize how these fashions could make specific and enlightening forecasts, assisting investors, buyers, and financial establishments with selection-making.This have a look at illustrates how neural networks are revolutionizing monetary prediction, opening doorways for more development and usage within the finance quarter.",2024-05-26,
Understanding the Scope of Chat (Generating pre-trained transformer) GPT and Artificial Intelligence(AI) in Medical Science,"The research project focuses on exploring crucial insights into contemporary investment decisions by examining consumer behavior through their aesthetic preferences in commodities.In today's financial landscape, characterized by evolving consumer demands and rapid technological advancements, investors and financial managers are continually seeking novel strategies to enhance their portfolios and gain a competitive edge.With heightened competition, investors are increasingly turning their attention to innovative approaches and product aesthetics to capture consumer attention and perception.Aesthetic appeal plays a pivotal role in adding value to commodities, influencing investor perceptions and reducing price sensitivity.This study endeavors to investigate the correlation between the visual aesthetics of commodities and investors' demand, shedding light on the intricate dynamics shaping investment decisions in modern financial markets.",2024-05-26,
"Dynamics effect of volatility index, interest rates, and commodity prices on Indonesian bond yields","Several factors influence the movements and dynamics of bond yields in financial markets. The determination of monetary policy, specifically the decisions regarding interest rates made by central banks, is a critical factor. Moreover, bond yields can be influenced by various factors such as geopolitical events, financial volatility, market sentiment, and investor risk appetite. These factors can impact the demand and supply dynamics in bond markets. This research aims to analyze the influence of Interest Rates, IDR to USD Exchange Rates, Volatility Index (VIX), Gold and Oil Prices on Bond Yields in Indonesia. The data used in this research is secondary data, which consists of time series data from 2019-2023. This research investigates the impact of financial and commodity prices on bond yields in Indonesia by using the autoregressive distributed lag (ARDL) model to examine both the long-run correlation and short-run effect. Empirical results found that Interest Rate, Volatility Index (VIX), and Oil Prices have a significant positive influence. Meanwhile, the Gold Price variable has a significant negative influence. This research has several crucial policy implications for investors concerning the national monetary policy, exchange rate fluctuation, and global volatility index to create profitable and sustainable portfolio strategies. Moreover, investment managers and investors should be concerned about the global commodities prices that will affect bond yield performances. This research contributes to the recent literature presenting causal relations of global volatility index (VIX) on Indonesian bond yield.",2024-05-25,
What makes consumers buy from the informal rather than formal retail market? A consumption value perspective,"Purpose This paper aims to understand consumption values buying from informal retail markets (i.e., street vendor retailing). It also explores why consumers prefer daily necessary goods from the informal compared to the formal retail market (such as supermarkets, retail chain outlets and e-commerce). Design/methodology/approach Employing the qualitative research approach, this study collected data from nine respondents in two areas in Malaysia. Data were collected using semi-structured interviews and analysed using the thematic analysis technique. Only representative verbatim codes were presented under five themes of consumption value theory. Findings Consumers are triggered by the convenience, ease, and exclusive products (conditional value), friendly and known relationship with informal sellers, as well as the availability of some particular food items (emotional value) and lower price and freshness of groceries (functional value) while buying from informal compared to formal retail vendor. Research limitations/implications This study provides knowledge implications to the consumption value theory. Functional, emotional, and conditional values are the dominant components of purchase behaviour in informal compared to formal retail channels. Social values are common, whereas epistemic value is more substantial in formal retailing. Practical implications Findings are helpful for informal retail businesses to understand consumers' buying behaviour. Informal retail owners should ensure that commodities are fresh, highly affordable and available in the local communities. Building a friendly relationship with consumers would be a key to the success of this retail sector. Social implications Authorities should support informal sellers to set up mobile retail stores in residential areas. This effort would offer greater convenience to both parties in informal businesses and ensure informal sellers' financial and social well-being. Originality/value Despite the widespread acceptance of buying goods from informal retail vendors, research on consumption value in informal retailing is largely overlooked. Previous research primarily deals with formal market phenomena due to their size and economic contribution. Consequently, current literature lacks an understanding of why consumers prefer to buy from informal retail vendors for their daily groceries when the formal retail channel could fulfil similar needs. Using a qualitative research design, this research uncovers consumers' buying motives from informal compared to formal vendors.",2024-05-24,
Agricultural manufacturers taxation in the context of food security: environmental and economic aspects,"The article examines the state, problems and prospects of taxation of agricultural producers. An analysis of the structural elements of the tax policy was carried out. The tax burden is calculated in relation to net profit, the area of agricultural land and arable land. The shortcomings of special regimes of taxation of domestic agricultural enterprises are identified. Directions for improving the mechanism of taxation of agricultural producers have been developed. The functioning of agricultural producers should provide for various state supports in the fiscal sphere, including the provision of certain tax benefits. The relationship between the taxation of agricultural enterprises and the effectiveness of their activities in the context of ensuring the food security of the State, as well as the environmental aspects of taxation, in particular the impact of taxation on the stimulation of environmentally friendly production and the use of land resources, have been studied. Recommendations have been made on improving the taxation system of agricultural commodity producers in order to increase food security and preserve ecological stability. The authors analyzed tax rates, benefits and burdens related to agricultural enterprises, which affect their financial situation and development. The article highlights the main aspects that determine the taxation of agricultural producers, and also takes into account modern trends and prospects in this area. The study helps to understand the complex aspects of taxation that affect agriculture, and also highlights possible ways to optimize the tax burden to support the sustainable development of the agricultural sector and draws attention to possible strategies for optimizing tax payments for agricultural producers aimed at increasing their competitiveness and sustainability in changing conditions market. Effective management of agribusiness is possible only under the condition of stability and predictability of tax legislation, which ensures the optimal tax burden on enterprises. The specificity of the agricultural sector requires special approaches to the taxation of business entities in this sector of the economy. Therefore, the problem of forming an effective system of taxation of the activities of entrepreneurial structures in the agrarian sector of the economy, including in order to ensure the appropriate level of food security of the state, is becoming actualized. Such measures consist in creating a favorable tax environment that promotes the development of the agricultural sector, increasing its production potential and increasing its contribution to the country’s economy.",2024-05-24,
Wavelet entropy and complexity–entropy curves approach for energy commodity price predictability amid the transition to alternative energy sources,"In recent years, energy commodities have emerged as pivotal and widely debated subjects, driven by their profound influence on the global economy and their intricate interconnections. Moreover, the challenges stemming from the predictability of energy commodity prices have become a prominent and intensifying focus of discussion. To this aim, in this paper, we employ wavelet analysis with an entropy approach to investigate and evaluate fluctuations, low-frequency events, and rare events in energy commodity prices and the consequent predictability of such time series. In particular, wavelet analysis can differentiate high-frequency from low-frequency movements in a time series, and entropy is a valuable mathematical tool used to evaluate the state of disorder, randomness, or uncertainty in a time series. Specifically, we employ Rényi Entropy instead of the Shannon entropy because it allows for enhanced consideration of low-frequency events and spikes in a time series. Therefore, to analyze the predictability of a series, we use Wavelet Rényi Entropy (WRE) and the Rényi complexity–entropy curves by combining the wavelet transform with Rényi entropy. Finally, we apply our analysis to real financial data, including energy commodities and indices that can describe the transition to alternative energy resources.",2024-05-23,
Analysis of the Transportation Infrastructure in Sierra Leone and its Impact on Local Commodities into the Market,"Transportation infrastructure plays a crucial role in the economic development and growth of nations, facilitating trade and investment opportunities by enabling the movement of people, services, and goods across markets and regions. However, developing countries such as Sierra Leone face significant challenges in providing suitable transportation infrastructure to support logistics management. Inadequate upkeep, financial constraints, and limited access to technology hinder the development of transportation infrastructure in Sierra Leone. Consequently, logistics management, which involves the planning, implementation, and control of the movement of goods and services, is adversely affected, leading to delayed deliveries, increased costs, and decreased competitiveness in the global market. This study aims to analyze the state of transportation infrastructure in Sierra Leone and its impact on local commodities. To assess the impact of transportation infrastructure on local commodity supply in Sierra Leone, a qualitative approach was employed. The findings from the study reveal that poor transportation infrastructure particularly limited cold storage facilities along transportation routes can lead to the spoilage of perishable goods such as fruits and vegetables. The findings were supported by four important recommendations: investment in road maintenance and expansion, modernisation of port facilities, development of intermodal transportation hubs, and the promotion of public-private partnerships.",2024-05-23,
Risk Assessment of Banks under Fed Rate Hikes,"The global economy was hit after the start of the COVID-19 pandemic. Economic stagnation and high volatility in commodity prices also had a negative impact on global supply chains. The Federal Reserve, in an effort to prevent a repeat of the 2008 financial crisis, slow down inflation, increase the liquidity of money, prevent asset value bubbles, and further revive and stabilize the economy, adopted a policy of raising interest rates, gradually increasing the federal funds rate to between 5.25 and 5.5 per cent over a two-year period. This change, however, also led to many changes in the banking sector. Commercial banks are trying to find ways to avoid risks while maintaining their returns in the face of financial market changes. This paper analyzes the systemic risk of commercial banks through liquidity risk, credit risk and market risk with the cases of Silicon Valley Bank, Signature Bank and Credit Suisse Bank. Through the analysis, this paper finds that commercial banks suffer from systemic risk, often reflecting their own operational problems, which ultimately led to bankruptcy or acquisition of the end.",2024-05-23,
Agricultural cooperatives as subjects of agrarian legal relations,"The article is devoted to the study of the main trends in the development of agricultural cooperation legislation and to the clarification of the place of agricultural cooperatives among subjects of agrarian legal relations. Special attention is paid to the analysis of the process of gradual liquidation of agricultural production cooperatives, which began in the early 2000s and ended with the adoption of the Law of Ukraine dated July 21, 2020 «About Agricultural Cooperation». A comparative characterization of agricultural service cooperatives and agricultural cooperatives which operates without profit, also agricultural production cooperatives and agricultural cooperatives which operates for profit, was carried out. The conditions for assigning «new» agricultural cooperatives to the group of agricultural producers are determined. The main directions of state financial support of agricultural cooperation are analyzed. The author came to the conclusion that the development of Ukrainian agrarian legislation shows a steady tendency to transform agricultural cooperatives either into processing enterprises or into business entities whose activities are primarily aimed at serving small commodity producers - farms. Thus, agricultural cooperatives are gradually losing the features inherent in agricultural commodity producers, which negatively affects, for example, on their number. This does not contribute to the implementation of such a business principle as ensuring economic diversity and equal protection by the state of all business entities (Article 6 of the Commercial Code of Ukraine), also ensuring food security of our country.",2024-05-23,
PENGENALAN DAN PELATIHAN DIVERSIFIKASI PRODUK HASIL PERIKANAN KEPADA ISTRI NELAYAN DI KENJERAN-SURABAYA,"The impoverished economic condition of fishermen is one of reasons that compelling the wives to work and earn extra living for their families. This problem is predominantly occurred in fishermen households in Kenjeran, Surabaya. This impoverished economic condition of fishermen is considerably influenced by the lack of adequate facilities and education related to the processing of diversified fishery commodities. Therefore, in order to help the economy improvement and reduce the poverty level within fishermen households, it is necessary to provide community service which is focusing on giving skill in diversification process of fisheries commodities. This activity aims to provide training and information enrichment related to fishery product processing skills in order to encourage financial independence in fishermen communities. This community service activity was initially began with conducting preliminary survey, which then continued with the training in making products from fisheries commodities. In the counseling process, primary data was taken by conducting interviews to fill out questionnaires. The result of this community service activity showed that the majority of participants already had certain level of understanding toward nutritional information and proper method to make processed fisheries products. The participants of this activity were given information regarding to the utilization of package in protecting and elevating the selling price of fisheries products. The questionnaires evaluation shows that the fishermen wives need further assistance regarding the variety of fish processing method, along with the effective marketing strategy and the proper implementation of sanitation hygiene to make products with high selling price. The Kenjeran fishing community understands the importance of diversifying fishery products. This is an effort to increase the economic value of products as an economic resource for residents.",2024-05-23,
Does “Paper Oil” Matter? Energy Markets’ Financialization and Co-Movements with Equity Markets,"We revisit, and document new facts regarding, the financialization of U.S. energy markets in 2000–2010. We show that, after controlling for macroeconomic factors and physical energy market fundamentals, the strength of energy markets’ co-movements with the U.S. stock market is positively related to the energy paper market activity of hedge funds that trade both asset classes. This relation weakens when credit risk is elevated. We find, in contrast, no link with the aggregate positions of commodity index traders in energy futures markets. Our findings have implications for the ongoing debate regarding the financialization of commodities.",2024-05-23,
IMPACT OF COVID-19 ON THE FINANCIAL STABILITY OF COMMERCIAL BANKS IN KENYA,"&lt;p&gt;Countries worldwide were gripped by the COVID-19 pandemic for the greater part of 2020 and 2021. COVID-19 spread to virtually all nations around the globe, causing a contraction of the global economy, and Kenya was no exception. Governments worldwide deployed social distancing, lockdowns, and curfews, which resulted in employee lay-off, business closure, and suppressed demand for commodities and services, eventually trickling down to commercial banks. The Kenyan banking sector experienced deterioration in asset quality which has been worsening since 2014 when it stood at 5.6 percent, reaching an all-time high of 14.5 percent in 2020 whereas Return on Assets which has also been declining since 2014, stood at 4.46 percent dropped to a record low of 2.07 percent in 2020 during the pandemic. This study, therefore, sought to determine how the financial stability of Kenyan commercial banks has been impacted by the COVID-19 shock. The study sought to specifically establish how both Z-score and capital adequacy of Kenyan commercial banks were impacted by the COVID-19 pandemic. Financial intermediation theory, Capital buffer theory, and Financial Instability Hypothesis anchored the study. The research design embraced was non-experimental, while the financial stability proxy was Z-score. The study’s target population was 19 commercial banks in Kenya between the years 2015 and 2022, which had complete data on all the study variables. Annual bank-level data was obtained from Kenya`s Central Bank`s annual supervision reports from 2015-2022. Event study methodology was used while collecting data whereby, the event window was 2020-2021, the period before the event (COVID-19) was 2015-2019, and the period after the event was 2022. The study espoused a panel vector autoregression model in data analysis where the impulse response functions were generated. The researcher discovered that the COVID-19 pandemic adversely impacted Z-score and capital adequacy. Based on the research findings, the Government of Kenya ought to institute non-disruptive pandemic control measures such as proper hygiene and wearing of masks as opposed to quarantines and lockdowns, which are detrimental to commercial banks' operations and other businesses, ultimately leading to a decline in income for commercial banks. Moreover, since capital acts as a shock absorber for banks, Kenyan commercial banks should strive to achieve and maintain the minimum capital adequacy ratios set by the Central Bank of Kenya. This will ensure that commercial banks in Kenya cushion themselves against economic shocks generated by pandemics such as COVID-19.&lt;/p&gt;&lt;p&gt; &lt;/p&gt;&lt;p&gt;&lt;strong&gt;JEL:&lt;/strong&gt; E44, E58, G01, G21, G28, G32&lt;/p&gt;&lt;p&gt; &lt;/p&gt;&lt;p&gt;&lt;strong&gt; Article visualizations:&lt;/strong&gt;&lt;/p&gt;&lt;p&gt;&lt;img src=""/-counters-/edu/0227/a.php"" alt=""Hit counter"" /&gt;&lt;/p&gt;",2024-05-22,
Commodity cycles and financial instability in emerging economies,"Abstract Commodity-exporting economies display procyclicality with the price of commodity exports. However, the evidence for the relative importance of commodity price shocks for aggregate fluctuations remains inconclusive. Using Russian data from 2001 to 2018 we estimate a small open economy New Keynesian model with a banking system and leveraged domestic firms who default on their unsecured domestic debt. We show that allowing default rates to vary endogenously over the business cycle amplifies the estimated contribution of commodity price shocks. Endogenous default introduces time-varying wedges that amplify the response of commodity price shocks through demand and income effects rather than the relative price effects that are found in the country risk-premium, balance sheet, and financial accelerator channels. We find that the contribution of commodity prices to explaining fluctuations in GDP rises from 2.5 to 33.6% while for deposits and non-performing loans, it increases from 5.3% and 1.6% to 71.3% and 60.4%, respectively.",2024-05-22,
Practical Applications of Inflation Hedging Tools—What Works and What Doesn’t,"In <ext-link><bold><italic>Inflation Hedging Tools—What Works and What Doesn't</italic></bold></ext-link>, from the October 2023 issue of <bold><italic>The Journal of Investing</italic></bold>, <bold>Rob Brown</bold> of <bold>Integrated Financial Partners</bold> and <bold>Integrated Wealth Concepts</bold> finds that oil, silver, diversified commodities, and wheat have performed best as hedges against inflationary surprises. The best combination was equal portions of wheat and diversified commodities. Conversely, gold and Treasury Inflation-Protected Securities (TIPS) have been poor hedges. He also finds that successful hedging of inflationary surprises depends on correctly timing and sizing the hedges.",2024-05-22,
Shocks and global asset market connectedness,"This chapter analyzes volatility spillovers across the global stock, bond, foreign exchange, and commodity markets from 2007 to 2022 using the Diebold-Yilmaz connectedness methodology. The volatility connectedness increases substantially during periods of stress in global asset markets. Aside from the jumps in the connectedness index, it is possible to identify a long-run downward trend in the connectedness index from the global financial crisis through the end of 2017. Immediately after hitting a minimum level, the index followed an upward trend. This trend became more robust following the Covid-19 shock of March 2020, Russia's invasion of Ukraine, and the surge in inflation in 2022. Most of the sudden jumps in the volatility connectedness have been due to the increased connectedness across asset classes rather than the within-asset classes. Stocks are the asset class that generated the highest level of volatility connectedness to others, followed by bonds and foreign exchange. Commodities are the asset class that receives the most connectedness from other asset classes.",2024-05-21,
Managing risk and reaping rewards: Climate‐change futures as a game‐changer for energy futures markets,"Abstract Climate‐change futures provide a platform for low‐carbon portfolios and energy market risk hedging. Climate changes induce uncertainty in energy‐commodity markets. We investigate the potential of diversifying and hedging energy‐commodity market risk with climate‐change futures, using dynamic conditional correlation (DCC)‐ordinary least squares (OLS) incorporating quantile‐dummies and cross‐quantilogram (CQ) approaches. DCC‐OLS models reveal that the World and USA climate‐change futures exhibit that they can be diversifiers for oil, ethanol, gasoil, and gasoline. These futures also exhibit hedging features for natural gas, coal, and heating oil. Euro climate‐change futures demonstrate hedging capabilities for all energy commodities except oil and gasoil. World, USA, and Euro climate‐change futures have the potential to serve as safe‐haven financial instruments in the face of the high volatility of Brent crude oil, gasoil, and heating oil. The CQ reveals that World, USA, and Euro climate‐change futures exhibit hedging and safe‐haven capacity against oil, natural gas, coal, gasoil, gasoline, and heating futures. Climate‐change futures may protect financial investments during extreme volatility in energy commodities.",2024-05-20,
Towards an Active Role of Financial Institutions in Preventing Problem Gambling: A Proposed Conceptual Framework and Taxonomy of Financial Wellbeing Indicators,"Abstract The transformation of gambling into a largely digital commodity has created a need for online payment technologies to facilitate online gambling, thereby also raising the question of what role these actors can play in the promotion of Responsible Gambling (RG). With the means and access they maintain, financial institutions are in a unique position to alleviate financial pitfalls, yet their role in the gambling context has thus far received little scrutiny. The objective of this study was to conduct an extant literature review to develop an initial set of financial indicators tailored for financial institutions, enabling them to engage in the RG initiatives. We conducted a two-step narrative literature review to identify both general Financial Well-Being (FWB) indicators across financial research disciplines, and one specific to gambling. A literature search over the past 20 years was performed across the following academic databases: Medline (Ovid), Sociological Abstracts (ProQuest), Web of Science (Clarivate), and PsycInfo (EBSCO). Manifest content analysis was used in step one to review general financial well-being, yielding a general FWB conceptual framework. In step two, we applied latent content analysis to the gambling-specific literature, linking essential concepts of gambling-related financial harms to the broader FWB literature. This resulted in a tentative taxonomy of indicators applicable to financial institutions with gambling customers. In tandem with the FWB conceptual framework, the preliminary taxonomy could provide a foundation for financial institutions catering to gambling customers to engage in the duty of care agenda, potentially broadening player protection beyond the current operator-focused RG measures.",2024-05-20,
Financialization of commodity markets: New evidence from temporal and spatial domains,"Abstract To address the ongoing contention surrounding the impact of financialization, this study adopts a ripple‐spreading network model to analyze the transmission of information across 13 globally significant commodity markets. By juxtaposing the pre‐ and postfinancialization periods, notable disparities in spillover magnitude are discerned, with overall effects registering at 58% and 85%, respectively. Moreover, the postfinancialization period exhibits accelerated spillover dynamics, necessitating a reduced timeframe (less than 1000 units) in contrast to the prefinancialization period (approximately 2000 units). Furthermore, a heightened interconnectedness among energy, metal, and agricultural futures is evident in the postfinancialization period. These findings furnish compelling evidence regarding the ramifications of financialization on commodity markets.",2024-05-20,
